source_id,source_name,country,title,url,price_eur,year,category,size,weight_range,condition,date_listed,date_found
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B AXIS Pluto 4 S 60-85kg Žádné SIV Nelétáno na písku Nekoupáno Drobné opravy S batohem Křídlo EN B AXIS Pluto,https://paragliding-bazar.cz/cs/offering/axis-pluto-4-s-60-85kg-no-sivs-no-flying-on-the-sand-no--6602/,,2021.0,EN B,S,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B AXIS Comet 3 L 95-120kg Nelétáno na písku Nevětveno Nekoupáno TK čerstvá TK platná TOP Křídlo EN B AXIS Come,https://paragliding-bazar.cz/cs/offering/axis-comet-3-l-95-120kg-no-flying-on-the-sand-no-trees-n-6557/,,2018.0,EN B,L,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B GIN Sprint 90-110kg Žádné SIV TK není Nevětveno Nekoupáno Křídlo EN B GIN Sprint 90-110kg Žádné SIV TK není,https://paragliding-bazar.cz/cs/offering/gin-sprint-90-110kg-no-sivs-no-tc-no-trees-no-water-6587/,,2009.0,EN B,,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B UP Summit XC 4 SM 75-100kg Listovaný Žádné SIV Nelétáno na písku TK čerstvá S batohem Křídlo EN B UP Summit,https://paragliding-bazar.cz/cs/offering/up-summit-xc-4-sm-75-100kg-concertinas-no-sivs-no-flying-6586/,,2017.0,EN B,SM,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Gradient Golden 4 26 85-100kg Listovaný Žádné SIV Nelétáno na písku Nekoupáno Drobné opravy Křídlo EN B Grad,https://paragliding-bazar.cz/cs/offering/gradient-golden-4-26-85-100kg-concertinas-no-sivs-no-fly-6570/,,2016.0,EN B,26,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Advance Epsilon 10 DLS 24 65-90kg Listovaný Žádné SIV Nelétáno na písku Nevětveno Nekoupáno Křídlo EN B Adva,https://paragliding-bazar.cz/cs/offering/advance-epsilon-10-dls-24-65-90kg-concertinas-no-sivs-no-6569/,,2023.0,EN B,,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,"Křídlo EN B Skywalk SKYWALK MOJITO / L 105-160kg Křídlo EN B Skywalk SKYWALK MOJITO / L 105-160kg 14 597,65 CZK (599,00",https://paragliding-bazar.cz/cs/offering/skywalk-skywalk-mojito-l-105-160kg-6558/,599.0,2015.0,EN B,,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Advance Iota DLS 27 95-115kg Listovaný Odlehčeno Žádné SIV Nelétáno na písku Nevětveno Nekoupán Křídlo EN B,https://paragliding-bazar.cz/cs/offering/advance-iota-dls-27-95-115kg-concertinas-lightened-no-si-6556/,2100.0,2022.0,EN B,27,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Nova Mentor 6 L 100-130kg Žádné SIV Nelétáno na písku Nevětveno Nekoupáno TK platná Křídlo EN B Nova Mentor,https://paragliding-bazar.cz/cs/offering/nova-mentor-6-l-100-130kg-no-sivs-no-flying-on-the-sand--6535/,1000.0,2019.0,EN B,L,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B GIN Explorer 2 M 85-105kg Listovaný Žádné SIV TK čerstvá TK platná Křídlo EN B GIN Explorer 2 M 85-105kg Lis,https://paragliding-bazar.cz/cs/offering/gin-explorer-2-m-85-105kg-concertinas-no-sivs-tc-fresh-t-6524/,,2022.0,EN B,M,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Sky Country Escort 2 Plus 41 41-220kg 150 Nelétáno na písku Nevětveno TK čerstvá Tandem Křídlo EN B Sky Coun,https://paragliding-bazar.cz/cs/offering/sky-country-escort-2-plus-41-41-220kg-150-no-flying-on-t-6523/,,2024.0,EN B,41,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,"Křídlo EN B UP Kibo 2 M 85-110kg Křídlo EN B UP Kibo 2 M 85-110kg 28 000,00 CZK (1 150,00 EUR) EN B Velikost: M Vzletová",https://paragliding-bazar.cz/cs/offering/up-kibo-2-m-85-110kg-6521/,1150.0,2020.0,EN B,M,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B AXIS Pluto 4 XL 105-130kg Listovaný Nelétáno na písku Nevětveno Nekoupáno TK platná Křídlo EN B AXIS Pluto 4,https://paragliding-bazar.cz/cs/offering/axis-pluto-4-xl-105-130kg-concertinas-no-flying-on-the-s-6520/,,2025.0,EN B,XL,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B UP Kangri S 65-85kg Listovaný Odlehčeno Žádné SIV Nelétáno na písku Nevětveno Nekoupáno Křídlo EN B UP Kangr,https://paragliding-bazar.cz/cs/offering/up-kangri-s-65-85kg-concertinas-lightened-no-sivs-no-fly-6508/,1425.0,2020.0,EN B,S,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,"Křídlo EN B AXIS Pluto 2 M 80-105kg TK není Křídlo EN B AXIS Pluto 2 M 80-105kg TK není 15 000,00 CZK EN B Velikost: M V",https://paragliding-bazar.cz/cs/offering/axis-pluto-2-m-80-105kg-no-tc-6503/,,2017.0,EN B,M,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Nova ION 4 80-100kg Žádné SIV TK není Nelétáno na písku Nekoupáno Křídlo EN B Nova ION 4 80-100kg Žádné SIV,https://paragliding-bazar.cz/cs/offering/nova-ion-4-80-100kg-no-sivs-no-tc-no-flying-on-the-sand--6477/,,2017.0,EN B,,,Mírně létané (50-100h),,2026-04-28
